2025-06-12 14:56:03,276 - INFO - System Monitor: Starting system minitoring...
2025-06-12 14:56:03,281 - INFO - CPU: Usage: 8.3%
2025-06-12 14:56:03,281 - INFO - Memory: Usage: 65.8%
2025-06-12 14:56:03,394 - INFO - System Info: Hostname: MSI
2025-06-12 14:56:03,809 - INFO - Software: PID: 6352, Name: LockApp.exe, Username: MSI\minhq
2025-06-12 14:56:03,813 - INFO - Software: PID: 6460, Name: MSI.CentralServer.exe, Username: None
2025-06-12 14:56:03,817 - INFO - Software: PID: 6476, Name: svchost.exe, Username: None
2025-06-12 14:56:03,822 - INFO - Software: PID: 6576, Name: WmiPrvSE.exe, Username: None
2025-06-12 14:56:03,826 - INFO - Software: PID: 6600, Name: svchost.exe, Username: None
2025-06-12 14:56:03,826 - INFO - Software: PID: 6804, Name: RuntimeBroker.exe, Username: MSI\minhq
2025-06-12 14:56:03,831 - INFO - Software: PID: 7024, Name: AggregatorHost.exe, Username: None
2025-06-12 14:56:03,835 - INFO - Software: PID: 7316, Name: WmiPrvSE.exe, Username: None
2025-06-12 14:56:03,839 - INFO - Software: PID: 7332, Name: svchost.exe, Username: None
2025-06-12 14:56:03,839 - INFO - Software: PID: 7456, Name: RuntimeBroker.exe, Username: MSI\minhq
2025-06-12 14:56:03,840 - INFO - Software: PID: 7528, Name: brave.exe, Username: MSI\minhq
2025-06-12 14:56:03,844 - INFO - Software: PID: 7564, Name: svchost.exe, Username: None
2025-06-12 14:56:03,849 - INFO - Software: PID: 7676, Name: BraveCrashHandler.exe, Username: None
2025-06-12 14:56:03,853 - INFO - Software: PID: 7688, Name: BraveCrashHandler64.exe, Username: None
2025-06-12 14:56:03,853 - INFO - Software: PID: 7720, Name: audiodg.exe, Username: None
2025-06-12 14:56:03,853 - INFO - Software: PID: 7816, Name: python.exe, Username: MSI\minhq
2025-06-12 14:56:03,854 - INFO - Software: PID: 7936, Name: ZaloCall.exe, Username: MSI\minhq
2025-06-12 14:56:03,858 - INFO - Software: PID: 7960, Name: svchost.exe, Username: None
